name;nametype;recclass;mass (g);fall;year;id;reclat;reclong;GeoLocation
Chelyabinsk;Valid;LL5;100000;Fell;01-janv-13;57165;54.816670;61.116670;(54.816670, 61.116670)
Battle Mountain;Valid;L6;2900;Fell;01-janv-12;56133;40.668130;-117.189130;(40.668130, -117.189130)
Sutter's Mill;Valid;C;992,5;Fell;01-janv-12;55529;38.803890;-120.908060;(38.803890, -120.908060)
Antelope;Valid;H4;754;Found;01-janv-12;57455;40.901830;-118.544650;(40.901830, -118.544650)
Catalina 009;Valid;CR2;5,2;Found;01-janv-12;57173;-25.233330;-69.716670;(-25.233330, -69.716670)
Jiddat al Harasis 799;Valid;LL6;212;Found;01-janv-12;57428;19.772780;56.389820;(19.772780, 56.389820)
Johannesburg;Valid;H4;63;Found;01-janv-12;55765;35.377880;-117.637280;(35.377880, -117.637280)
Ksar Ghilane 010;Valid;L5;50,1;Found;01-janv-12;55605;32.806000;9.833000;(32.806000, 9.833000)
Ksar Ghilane 011;Valid;L4;25,6;Found;01-janv-12;55606;32.891000;9.913000;(32.891000, 9.913000)
Los Vientos 028;Valid;H~5;12110;Found;01-janv-12;57338;-24.683330;-69.766670;(-24.683330, -69.766670)
Mandalay Spring;Valid;L6;2854;Found;01-janv-12;57454;40.892010;-118.553190;(40.892010, -118.553190)
Boumdeid (2011);Valid;L6;3599;Fell;01-janv-11;57167;17.174930;-11.341330;(17.174930, -11.341330)
So?tmany;Valid;L6;1066;Fell;01-janv-11;53829;54.008830;22.005000;(54.008830, 22.005000)
Thika;Valid;L6;14200;Fell;01-janv-11;54493;-1.002780;37.150280;(-1.002780, 37.150280)
Tissint;Valid;Martian (shergottite);7000;Fell;01-janv-11;54823;29.481950;-7.611230;(29.481950, -7.611230)
Alkali Flat;Valid;L5;28;Found;01-janv-11;55662;32.306000;-108.903800;(32.306000, -108.903800)
Anthony Gap;Valid;L6;347,36;Found;01-janv-11;56391;32.005840;-106.560280;(32.005840, -106.560280)
Benešov (a);Valid;LL3.5;9,72;Found;01-janv-11;54854;49.766670;14.633330;(49.766670, 14.633330)
Benešov (b);Valid;H5;1,54;Found;01-janv-11;54855;49.766670;14.633330;(49.766670, 14.633330)
Biduna Blowhole 002;Valid;L4;13;Found;01-janv-11;54929;-31.032970;131.285470;(-31.032970, 131.285470)
Biduna Blowhole 003;Valid;L6;0,4;Found;01-janv-11;54930;-31.019640;131.303940;(-31.019640, 131.303940)
Biduna Blowhole 004;Valid;H5;114,5;Found;01-janv-11;56590;-31.032780;131.285530;(-31.032780, 131.285530)
Catalina 008;Valid;CO3;98;Found;01-janv-11;57172;-25.233330;-69.716670;(-25.233330, -69.716670)
Catalina 035;Valid;H~5;904;Found;01-janv-11;57328;-25.233330;-69.716670;(-25.233330, -69.716670)
Catalina 036;Valid;H~5;42;Found;01-janv-11;57329;-25.233330;-69.716670;(-25.233330, -69.716670)
Dhofar 1643;Valid;L6;122,2;Found;01-janv-11;55519;19.289670;54.550920;(19.289670, 54.550920)
Dhofar 1644;Valid;H6;11,8;Found;01-janv-11;55520;18.951080;54.515060;(18.951080, 54.515060)
Dhofar 1645;Valid;H6;48,5;Found;01-janv-11;55521;18.915670;54.495190;(18.915670, 54.495190)
Dhofar 1646;Valid;L6;66,9;Found;01-janv-11;55522;18.936720;54.476000;(18.936720, 54.476000)
Dhofar 1647;Valid;H6;444;Found;01-janv-11;55565;19.137030;54.824780;(19.137030, 54.824780)
Dhofar 1648;Valid;LL5/6;262;Found;01-janv-11;55566;19.170980;54.690080;(19.170980, 54.690080)
Dhofar 1649;Valid;L6;143;Found;01-janv-11;55567;19.045620;54.581780;(19.045620, 54.581780)
Dhofar 1650;Valid;H6;930;Found;01-janv-11;55568;19.058220;54.571920;(19.058220, 54.571920)
Dhofar 1651;Valid;L6;2170;Found;01-janv-11;55569;18.992270;54.471170;(18.992270, 54.471170)
Dhofar 1652;Valid;L6;800;Found;01-janv-11;55570;18.723970;54.540600;(18.723970, 54.540600)
Dhofar 1653;Valid;H6;2724;Found;01-janv-11;55571;18.597900;54.450620;(18.597900, 54.450620)
Dhofar 1654;Valid;L5;50000;Found;01-janv-11;55572;18.678770;54.287600;(18.678770, 54.287600)
Dhofar 1655;Valid;L6;1218;Found;01-janv-11;55573;18.397780;54.491280;(18.397780, 54.491280)
Dhofar 1656;Valid;L6;420;Found;01-janv-11;55574;18.334700;54.402600;(18.334700, 54.402600)
Dhofar 1657;Valid;H6;883;Found;01-janv-11;55575;18.360150;54.394370;(18.360150, 54.394370)
Dhofar 1658;Valid;LL6;3150;Found;01-janv-11;55576;18.359670;54.407050;(18.359670, 54.407050)
Dhofar 1659;Valid;L6;3695;Found;01-janv-11;55577;18.360020;54.409720;(18.360020, 54.409720)
Dhofar 1660;Valid;L6;256;Found;01-janv-11;55578;18.886170;54.469050;(18.886170, 54.469050)
Dhofar 1661;Valid;H6;63;Found;01-janv-11;55579;18.991400;54.680270;(18.991400, 54.680270)
Dhofar 1662;Valid;H6;545;Found;01-janv-11;55580;19.105200;54.806020;(19.105200, 54.806020)
Dhofar 1663;Valid;H5;422;Found;01-janv-11;55581;19.139050;54.873530;(19.139050, 54.873530)
Dhofar 1664;Valid;H6;2266;Found;01-janv-11;55582;19.179000;54.932670;(19.179000, 54.932670)
Dhofar 1665;Valid;L3;3687;Found;01-janv-11;56380;19.172770;54.922330;(19.172770, 54.922330)
Dhofar 1666;Valid;L4;1300;Found;01-janv-11;56381;19.180850;54.924700;(19.180850, 54.924700)
Dhofar 1668;Valid;Martian (shergottite);6,1;Found;01-janv-11;55603;18.322000;54.148000;(18.322000, 54.148000)
